state,date,unemployment_rate
Oklahoma,2021-10-01,3.0
Oklahoma,2021-11-01,2.7
Oklahoma,2021-12-01,2.5
Oklahoma,2022-01-01,3.2
Oklahoma,2022-02-01,3.2
Oklahoma,2022-03-01,2.9
Oklahoma,2022-04-01,2.5
Oklahoma,2022-05-01,3.0
Oklahoma,2022-06-01,3.4
Oklahoma,2022-07-01,3.2
Oklahoma,2022-08-01,3.4
Oklahoma,2022-09-01,3.1
Oklahoma,2022-10-01,3.2
Oklahoma,2022-11-01,3.0
Oklahoma,2022-12-01,2.7
Oklahoma,2023-01-01,3.3
Oklahoma,2023-02-01,3.3
Oklahoma,2023-03-01,3.0
Oklahoma,2023-04-01,2.5
Oklahoma,2023-05-01,3.1
Oklahoma,2023-06-01,3.4
Oklahoma,2023-07-01,3.2
Oklahoma,2023-08-01,3.5
Oklahoma,2023-09-01,3.4
Oklahoma,2023-10-01,3.5
Oklahoma,2023-11-01,3.3
Oklahoma,2023-12-01,3.2
